id_cliente,n_pedidos,gasto_total,edad,ciudad,segmento_cliente,ticket_medio
00047a8c-eaed-4e09-a302-4081b07e37f9,6,582.25,44.0,barcelona,corporativo,97.04166666666667
0005530b-bb59-4862-9ed1-9ba4b57e4b95,8,714.03,64.0,granada,recurrente,89.25375
000c848f-a5fc-40a5-a3ba-3de5a7e12089,1,9.49,40.0,sevilla,nuevo,9.49
0013343e-3a60-417d-bad5-88780f5a83a1,4,520.3199999999999,34.0,murcia,corporativo,130.07999999999998
0030dae9-1d2a-4aaf-ba17-c19d34228fbc,3,193.17000000000002,48.0,vigo,recurrente,64.39
0033c3de-f801-4494-befd-be3299b678bb,4,280.26,40.0,murcia,nuevo,70.065
004e6177-7f74-426f-98b7-7dd0bd48df2d,1,67.85,56.0,zaragoza,recurrente,67.85
005367bd-a3ef-4c7e-a0be-6d6940311ec4,8,793.51,47.0,murcia,nuevo,99.18875
005742d0-7406-43f5-ba92-07f10a7f2f1a,4,419.54999999999995,42.0,barcelona,vip,104.88749999999999
006543bb-478b-46eb-b299-6730bc6f7892,8,778.01,35.0,sevilla,nuevo,97.25125
00773100-b4c2-46f3-a020-53bfda4035ef,5,420.02,44.0,malaga,nuevo,84.00399999999999
007e5c50-bbb4-4a99-943a-2230fb10baa3,4,859.1700000000001,19.0,valencia,recurrente,214.79250000000002
0080e8a6-a725-42ac-aed5-dc5d19c56828,9,613.1999999999999,42.0,granada,recurrente,68.13333333333333
00819162-1efc-4318-8332-e5c5a9a38f0c,3,244.04000000000002,18.0,zaragoza,recurrente,81.34666666666668
00882264-054f-4125-9e4f-236e7af94ae6,6,909.35,45.0,zaragoza,nuevo,151.55833333333334
008bee59-e98f-456a-b83c-f673e5c334be,7,459.4,22.0,barcelona,nuevo,65.62857142857142
008ea7f9-eb8b-44ea-adc4-c6bc7eecf190,1,29.89,40.0,granada,nuevo,29.89
00943c45-6378-4efb-8c27-bf1a38919319,9,1002.23,32.0,valencia,recurrente,111.35888888888888
00a2976e-2671-4b2d-9c4b-ffda3c507081,5,570.06,59.0,vigo,recurrente,114.01199999999999
00b134da-1f3f-4435-a1c3-c8fa5c811a6d,3,239.51999999999998,54.0,granada,nuevo,79.83999999999999
00b739f6-96c4-41ee-8c1b-1427e7084b4f,2,255.62,40.0,malaga,recurrente,127.81
00bc033b-c71e-4a7a-b6d6-d0e6e983e558,2,52.47,38.0,barcelona,recurrente,26.235
00be9d7f-0710-4dec-9a2f-dec590ee1fc8,7,756.6,40.0,barcelona,recurrente,108.08571428571429
00c2ed33-4152-44c0-a1c8-f59a67ea16aa,5,231.42,36.0,zaragoza,recurrente,46.284
00caec3e-18bd-42dc-9e80-3c1dc422f960,4,420.69,59.0,malaga,nuevo,105.1725
00d40b9b-1ebe-4cea-8b45-29ae43c684fb,8,569.62,62.0,vigo,recurrente,71.2025
00e93dbf-b793-43b9-930c-85fea7deecca,6,845.2,39.0,barcelona,nuevo,140.86666666666667
00fa1036-e3b0-4414-bea3-0e039e0cfcd8,5,498.68,55.0,murcia,recurrente,99.736
00fda5a9-7fd2-4145-940f-3669e91fa9df,2,505.14,40.0,barcelona,nuevo,252.57
01056bdf-ada1-43c4-abda-f034b6d8bea2,12,1497.91,51.0,zaragoza,corporativo,124.82583333333334
01085998-7c3a-4313-afdc-60c07e6d412f,4,230.98000000000002,38.0,vigo,corporativo,57.745000000000005
011afbe8-77bd-4946-93ed-c708d8ad10e5,4,594.56,33.0,murcia,recurrente,148.64
0126d217-2999-40c3-8ae5-e12d8832f0b5,7,815.54,40.0,sevilla,recurrente,116.50571428571428
012703e4-488c-46ab-a369-aa50324576c4,10,818.8,32.0,valencia,recurrente,81.88
012760c7-299b-43dd-a03e-15b290a246ec,5,825.32,29.0,granada,nuevo,165.06400000000002
01281c4d-ed60-4c8a-bd69-e75769863a39,8,989.35,47.0,valencia,nuevo,123.66875
01289d80-1f77-4fe7-af0c-e33e23afcd4e,6,526.3,18.0,madrid,corporativo,87.71666666666665
012ac31e-3642-47c4-9545-4d0d892c962c,5,413.21000000000004,46.0,zaragoza,recurrente,82.64200000000001
01329c02-9b45-4987-9020-39ab5be28035,8,692.62,36.0,vigo,corporativo,86.5775
013b90de-92dd-4c40-8f30-b00638250e48,4,460.71,25.0,valencia,nuevo,115.1775
013fbc9e-c94a-4f2a-a589-2a8ba4964722,10,1245.49,44.0,madrid,recurrente,124.549
014d14cf-b141-4878-98dd-a01245e615ed,12,1993.1709,28.0,malaga,recurrente,166.097575
014e6aab-8c29-4b0b-b76d-610e75cff044,9,2304.5218000000004,48.0,zaragoza,corporativo,256.0579777777778
016470cb-a484-447a-b2b3-9fddcc9a877e,8,1051.0709000000002,47.0,barcelona,nuevo,131.38386250000002
01675ef8-3c9a-46b1-9e16-a0f639ee29a3,8,826.03,46.0,sevilla,recurrente,103.25375
016bc239-7c59-457f-b29a-c6fb1af2da11,6,737.4000000000001,18.0,sevilla,recurrente,122.90000000000002
016f8cbf-06f7-41a2-b8d9-5649185e7b39,5,1174.15,40.0,malaga,recurrente,234.83
0170e338-a470-4fc5-abdd-f6f176012c6c,2,418.76,27.0,vigo,vip,209.38
0179c0db-e30c-40d8-8cf8-1f2bec5b79f1,11,651.24,26.0,vigo,nuevo,59.20363636363636
017e7c2b-fcbf-4fd8-bbe7-e13d36771f7e,6,836.75,40.0,vigo,corporativo,139.45833333333334
01839d57-008e-4805-a28f-c1c991973bbf,14,1554.92,62.0,murcia,nuevo,111.0657142857143
018601f1-d69f-4058-a345-6a1ea3165c98,11,1042.58,40.0,bilbao,recurrente,94.77999999999999
01a271c2-4c74-4c8c-8e99-5d571be18a4b,4,424.75,57.0,valencia,nuevo,106.1875
01ba93d9-9bd4-43fc-bbc3-6dc167c293fd,6,901.29,61.0,malaga,nuevo,150.215
01c6305b-411e-48bd-8eac-f691d5baf76b,5,819.3299999999999,33.0,granada,vip,163.86599999999999
01d2dfa6-0e7e-45fa-ac43-2a61bd4c09e8,4,376.89,77.0,barcelona,vip,94.2225
01dee12b-466e-4ddc-aef9-1cded9129ceb,8,884.02,56.0,madrid,recurrente,110.5025
01deeaca-6845-4b9b-81b6-192ba759f343,11,1062.42,38.0,zaragoza,corporativo,96.58363636363637
01e4709e-b7b4-47c2-a05c-f0a18d211637,8,993.84,59.0,granada,nuevo,124.23
01f20459-69c8-42dc-a57d-9d293a78b391,3,189.69,54.0,barcelona,recurrente,63.23
01fc0778-b96f-48cc-b317-0b511bda073d,3,175.76,36.0,malaga,recurrente,58.586666666666666
01ffc2f8-d087-41a1-b292-35308f43ea56,13,935.49,40.0,zaragoza,nuevo,71.96076923076923
02003ad6-f2c2-4f68-9dd2-94cdbfbc8b83,4,492.09000000000003,29.0,vigo,nuevo,123.02250000000001
02090410-e123-415e-8662-ff9f73d17524,8,1221.4609,27.0,valencia,recurrente,152.6826125
020c59c9-8d07-4b87-ab0b-32fb592baeec,6,928.59,40.0,malaga,nuevo,154.76500000000001
0219176a-0d1b-4c2e-ba09-1cb8d0075bb8,5,448.68,45.0,bilbao,vip,89.736
02283c48-9fbb-4e54-9e26-57b8f7289d45,3,219.88,33.0,granada,nuevo,73.29333333333334
0229b07b-cc90-4c1d-abca-0d61974d54e1,3,188.05,40.0,bilbao,recurrente,62.68333333333334
0230e4c9-efc6-4158-be47-e51fab981a6e,6,718.46,32.0,granada,recurrente,119.74333333333334
0232efc7-5c7a-45ef-8aae-d714f99e72d0,5,644.76,40.0,barcelona,recurrente,128.952
0234a384-3b6c-4922-bad1-32ab94afb37b,7,870.9200000000001,40.0,bilbao,nuevo,124.41714285714286
02674542-1e8c-4919-90d3-1cb8dced3f11,10,1475.01,53.0,malaga,nuevo,147.501
